Quarter,Fiscal_Year,Segment,Revenue_Billions,YoY_Growth_Percent,Key_Metric
Q4 FY2024,2024,Productivity and Business Processes,20.3,11,Office Commercial up 13%
Q4 FY2024,2024,Intelligent Cloud,28.5,19,Azure up 29%
Q4 FY2024,2024,More Personal Computing,15.9,14,Windows OEM up 4%
Q1 FY2025,2025,Productivity and Business Processes,20.8,12,Office 365 Commercial up 15%
Q1 FY2025,2025,Intelligent Cloud,31.8,20,Azure up 33%
Q1 FY2025,2025,More Personal Computing,13.0,17,Gaming up 61%
Q2 FY2025,2025,Productivity and Business Processes,22.0,13,Dynamics 365 up 18%
Q2 FY2025,2025,Intelligent Cloud,33.7,18,Azure up 31%
Q2 FY2025,2025,More Personal Computing,13.9,9,Surface up 12%
Q3 FY2025,2025,Productivity and Business Processes,22.4,12,LinkedIn up 10%
Q3 FY2025,2025,Intelligent Cloud,34.1,17,Azure up 33%
Q3 FY2025,2025,More Personal Computing,13.6,5,Xbox content up 50%
Q4 FY2025,2025,Productivity and Business Processes,23.5,13,Office 365 Commercial up 14%
Q4 FY2025,2025,Intelligent Cloud,36.2,21,Azure up 34%
Q4 FY2025,2025,More Personal Computing,16.7,15,Windows Commercial up 11%
