Date,Region,Product_Category,Revenue,COGS,Operating_Expenses,Marketing_Spend,R&D_Investment,Gross_Profit,Net_Profit,Units_Sold,Customer_Count,Customer_Acquisition_Cost,Churn_Rate
2024-01-15,North_America,Software,450000,135000,95000,45000,35000,315000,140000,1250,450,100,2.3
2024-01-15,Europe,Software,380000,114000,82000,38000,28000,266000,118000,1050,380,100,2.1
2024-01-15,Asia_Pacific,Software,320000,96000,68000,32000,24000,224000,100000,890,320,100,2.5
2024-01-15,North_America,Hardware,280000,168000,48000,28000,15000,112000,21000,560,280,100,3.2
2024-01-15,Europe,Hardware,240000,144000,42000,24000,12000,96000,18000,480,240,100,3.0
2024-02-15,North_America,Software,475000,142500,98000,47000,38000,332500,149500,1320,475,99,2.2
2024-02-15,Europe,Software,395000,118500,85000,39500,29000,276500,122500,1100,395,100,2.0
2024-02-15,Asia_Pacific,Software,335000,100500,71000,33500,25000,234500,105000,930,335,100,2.4
2024-02-15,North_America,Hardware,295000,177000,50000,29500,16000,118000,22500,590,295,100,3.1
2024-02-15,Europe,Hardware,250000,150000,44000,25000,13000,100000,18000,500,250,100,2.9
2024-03-15,North_America,Software,510000,153000,102000,51000,40000,357000,164000,1420,510,100,2.1
2024-03-15,Europe,Software,425000,127500,89000,42500,31000,297500,135000,1180,425,100,1.9
2024-03-15,Asia_Pacific,Software,365000,109500,76000,36500,27000,255500,116000,1015,365,100,2.3
2024-03-15,North_America,Hardware,320000,192000,54000,32000,18000,128000,24000,640,320,100,3.0
2024-03-15,Europe,Hardware,275000,165000,48000,27500,14000,110000,20500,550,275,100,2.8
2024-04-15,North_America,Software,525000,157500,105000,52500,42000,367500,168000,1460,525,100,2.0
2024-04-15,Europe,Software,440000,132000,92000,44000,32000,308000,140000,1220,440,100,1.8
2024-04-15,Asia_Pacific,Software,380000,114000,79000,38000,28000,266000,121000,1055,380,100,2.2
2024-04-15,North_America,Hardware,335000,201000,56000,33500,19000,134000,25500,670,335,100,2.9
2024-04-15,Europe,Hardware,285000,171000,50000,28500,15000,114000,21500,570,285,100,2.7
